k,f,n,c,p,r,a,True_Favorable,Favorable_called_Intermediate,Favorable_called_Adverse,Intermediate_called_Favorable,True_Intermediate,Intermediate_called_Adverse,Adverse_called_Favorable,Adverse_called_Intermediate,True_Adverse,Number_of_tests
1,0,0,1,1,0,1,0.171,0.142,0.002,0.004,0.385,0,0,0.058,0.238,4
0,1,0,1,1,0,1,0.033,0.278,0.004,0.01,0.378,0.001,0.002,0.193,0.1,4
0,0,1,1,1,0,1,0.179,0.134,0.002,0.139,0.249,0.001,0.013,0.185,0.098,4
1,0,0,0,1,1,1,0.138,0.173,0.004,0,0.389,0,0,0,0.296,4
0,1,0,0,1,1,1,0,0.309,0.006,0,0.388,0.001,0,0.117,0.179,4
0,0,1,0,1,1,1,0.147,0.166,0.002,0.125,0.263,0.001,0.011,0.111,0.175,4
0,0,0,1,1,1,1,0.034,0.275,0.006,0.014,0.373,0.001,0.002,0.115,0.179,4
1,1,1,0,0,0,0,0.284,0.031,0,0,0.389,0,0.001,0.098,0.197,3
1,1,0,1,0,0,0,0.171,0.144,0,0,0.389,0,0.001,0.098,0.197,3
1,0,1,1,0,0,0,0.315,0,0,0.099,0.29,0,0.004,0.095,0.197,3
0,1,1,1,0,0,0,0.178,0.137,0,0.03,0.359,0,0.011,0.285,0,3
1,1,0,0,0,1,0,0.138,0.175,0.002,0,0.389,0,0,0.027,0.269,3
1,0,1,0,0,1,0,0.284,0.031,0,0.096,0.293,0,0.004,0.025,0.268,3
0,1,1,0,0,1,0,0.147,0.168,0,0.021,0.368,0,0.007,0.196,0.093,3
1,0,0,1,0,1,0,0.171,0.143,0.002,0.004,0.385,0,0.001,0.027,0.269,3
0,1,0,1,0,1,0,0.033,0.28,0.002,0.01,0.379,0,0.004,0.199,0.093,3
0,0,1,1,0,1,0,0.179,0.136,0,0.139,0.25,0,0.017,0.188,0.092,3
1,1,0,0,1,0,0,0.138,0.177,0,0,0.389,0,0,0.092,0.205,3
1,0,1,0,1,0,0,0.284,0.031,0,0.096,0.293,0,0.002,0.089,0.205,3
0,1,1,0,1,0,0,0.147,0.168,0,0.021,0.368,0,0.006,0.23,0.06,3
1,0,0,1,1,0,0,0.171,0.144,0,0.004,0.385,0,0,0.092,0.205,3
0,1,0,1,1,0,0,0.033,0.282,0,0.01,0.379,0,0.002,0.234,0.06,3
0,0,1,1,1,0,0,0.179,0.136,0,0.139,0.25,0,0.013,0.223,0.06,3
1,0,0,0,1,1,0,0.138,0.175,0.002,0,0.389,0,0,0.02,0.276,3
0,1,0,0,1,1,0,0,0.313,0.002,0,0.389,0,0,0.143,0.153,3
0,0,1,0,1,1,0,0.147,0.168,0,0.125,0.264,0,0.011,0.134,0.151,3
0,0,0,1,1,1,0,0.034,0.279,0.002,0.014,0.375,0,0.002,0.141,0.153,3
1,1,0,0,0,0,1,0.138,0.175,0.002,0,0.389,0,0,0.065,0.231,3
