P53_mut,RUNX1_mut,ASXL1,all.sources,tcga.count,baml.count,amlsg.count,allsources.pct,tcga.pct,baml.pct,amlsg.pct
0,0,0,1369,161,71,1137,0.8139120095124851,0.8341968911917098,0.6761904761904762,0.8215317919075145
0,0,1,53,1,6,46,0.03151010701545779,0.0051813471502590676,0.05714285714285714,0.033236994219653176
0,0,NA,1422,162,77,1183,0.845422116527943,0.8393782383419689,0.7333333333333333,0.8547687861271677
0,1,0,135,12,13,110,0.0802615933412604,0.06217616580310881,0.12380952380952381,0.07947976878612717
0,1,1,24,4,3,17,0.014268727705112961,0.02072538860103627,0.02857142857142857,0.012283236994219654
0,1,NA,159,16,16,127,0.09453032104637336,0.08290155440414508,0.1523809523809524,0.09176300578034682
0,NA,0,1504,173,84,1247,0.8941736028537456,0.8963730569948186,0.8,0.9010115606936416
0,NA,1,77,5,9,63,0.045778834720570746,0.025906735751295335,0.08571428571428572,0.04552023121387283
0,NA,NA,1581,178,93,1310,0.9399524375743162,0.9222797927461139,0.8857142857142857,0.9465317919075145
1,0,0,98,15,12,71,0.05826397146254459,0.07772020725388601,0.11428571428571428,0.05130057803468208
1,0,1,2,0,0,2,0.0011890606420927466,0,0,0.001445086705202312
1,0,NA,100,15,12,73,0.059453032104637336,0.07772020725388601,0.11428571428571428,0.052745664739884394
1,1,0,1,0,0,1,5.945303210463733e-4,0,0,7.22543352601156e-4
1,1,1,0,0,0,0,0,0,0,0
1,1,NA,1,0,0,1,5.945303210463733e-4,0,0,7.22543352601156e-4
1,NA,0,99,15,12,72,0.058858501783590964,0.07772020725388601,0.11428571428571428,0.05202312138728324
1,NA,1,2,0,0,2,0.0011890606420927466,0,0,0.001445086705202312
1,NA,NA,101,15,12,74,0.06004756242568371,0.07772020725388601,0.11428571428571428,0.05346820809248555
NA,0,0,1467,176,83,1208,0.8721759809750297,0.9119170984455959,0.7904761904761904,0.8728323699421965
NA,0,1,55,1,6,48,0.032699167657550536,0.0051813471502590676,0.05714285714285714,0.03468208092485549
NA,0,NA,1522,177,89,1256,0.9048751486325802,0.917098445595855,0.8476190476190476,0.9075144508670521
NA,1,0,136,12,13,111,0.08085612366230678,0.06217616580310881,0.12380952380952381,0.08020231213872832
NA,1,1,24,4,3,17,0.014268727705112961,0.02072538860103627,0.02857142857142857,0.012283236994219654
NA,1,NA,160,16,16,128,0.09512485136741974,0.08290155440414508,0.1523809523809524,0.09248554913294797
NA,NA,0,1603,188,96,1319,0.9530321046373365,0.9740932642487047,0.9142857142857143,0.9530346820809249
NA,NA,1,79,5,9,65,0.0469678953626635,0.025906735751295335,0.08571428571428572,0.04696531791907514
NA,NA,NA,1682,193,105,1384,1,1,1,1
