ordered_tests,t1,t2,t3,t4,t5,t6,t7,f1,f2,f3,f4,f5,f6,f7,i1,i2,i3,i4,i5,i6,i7,a1,a2,a3,a4,a5,a6,a7
kfncpra,0.6792452830188679,0.6792452830188679,0.8194070080862533,0.8247978436657682,0.8328840970350404,0.9622641509433962,1,0.6351351351351351,0.6351351351351351,0.9848029848029849,0.9983164983164983,1,1,1,0.7355555555555555,0.7355555555555555,0.8533333333333333,0.8577777777777778,0.8622222222222222,0.9688888888888889,1,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.794701986754967,0.9536423841059603,1
kfncpar,0.6792452830188679,0.6792452830188679,0.8194070080862533,0.8247978436657682,0.8328840970350404,0.9029649595687331,1,0.6351351351351351,0.6351351351351351,0.9848029848029849,0.9983164983164983,1,1,1,0.7355555555555555,0.7355555555555555,0.8533333333333333,0.8577777777777778,0.8622222222222222,0.9199999999999999,1,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.794701986754967,0.880794701986755,1
kfncrpa,0.6792452830188679,0.6792452830188679,0.8194070080862533,0.8247978436657682,0.954177897574124,0.9622641509433962,1,0.6351351351351351,0.6351351351351351,0.9848029848029849,0.9983164983164983,0.9983164983164983,1,1,0.7355555555555555,0.7355555555555555,0.8533333333333333,0.8577777777777778,0.9644444444444444,0.9688888888888889,1,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.9437086092715232,0.9536423841059603,1
kfncrap,0.6792452830188679,0.6792452830188679,0.8194070080862533,0.8247978436657682,0.954177897574124,0.9919137466307277,1,0.6351351351351351,0.6351351351351351,0.9848029848029849,0.9983164983164983,0.9983164983164983,0.9983164983164983,1,0.7355555555555555,0.7355555555555555,0.8533333333333333,0.8577777777777778,0.9644444444444444,0.9955555555555555,1,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.9437086092715232,0.990066225165563,1
kfncapr,0.6792452830188679,0.6792452830188679,0.8194070080862533,0.8247978436657682,0.894878706199461,0.9029649595687331,1,0.6351351351351351,0.6351351351351351,0.9848029848029849,0.9983164983164983,0.9983164983164983,1,1,0.7355555555555555,0.7355555555555555,0.8533333333333333,0.8577777777777778,0.9155555555555556,0.9199999999999999,1,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.8708609271523179,0.880794701986755,1
kfncarp,0.6792452830188679,0.6792452830188679,0.8194070080862533,0.8247978436657682,0.894878706199461,0.9919137466307277,1,0.6351351351351351,0.6351351351351351,0.9848029848029849,0.9983164983164983,0.9983164983164983,0.9983164983164983,1,0.7355555555555555,0.7355555555555555,0.8533333333333333,0.8577777777777778,0.9155555555555556,0.9955555555555555,1,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.8708609271523179,0.990066225165563,1
kfnpcra,0.6792452830188679,0.6792452830188679,0.8194070080862533,0.8274932614555256,0.8328840970350404,0.9622641509433962,1,0.6351351351351351,0.6351351351351351,0.9848029848029849,0.9864864864864865,1,1,1,0.7355555555555555,0.7355555555555555,0.8533333333333333,0.8577777777777778,0.8622222222222222,0.9688888888888889,1,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.794701986754967,0.794701986754967,0.9536423841059603,1
kfnpcar,0.6792452830188679,0.6792452830188679,0.8194070080862533,0.8274932614555256,0.8328840970350404,0.9029649595687331,1,0.6351351351351351,0.6351351351351351,0.9848029848029849,0.9864864864864865,1,1,1,0.7355555555555555,0.7355555555555555,0.8533333333333333,0.8577777777777778,0.8622222222222222,0.9199999999999999,1,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.794701986754967,0.794701986754967,0.880794701986755,1
kfnprca,0.6792452830188679,0.6792452830188679,0.8194070080862533,0.8274932614555256,0.9568733153638814,0.9622641509433962,1,0.6351351351351351,0.6351351351351351,0.9848029848029849,0.9864864864864865,0.9864864864864865,1,1,0.7355555555555555,0.7355555555555555,0.8533333333333333,0.8577777777777778,0.9644444444444444,0.9688888888888889,1,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.794701986754967,0.9536423841059603,0.9536423841059603,1
kfnprac,0.6792452830188679,0.6792452830188679,0.8194070080862533,0.8274932614555256,0.9568733153638814,0.9946091644204852,1,0.6351351351351351,0.6351351351351351,0.9848029848029849,0.9864864864864865,0.9864864864864865,0.9864864864864865,1,0.7355555555555555,0.7355555555555555,0.8533333333333333,0.8577777777777778,0.9644444444444444,0.9955555555555555,1,0.7847682119205298,0.7847682119205298,0.7847682119205298,0.794701986754967,0.9536423841059603,1,1
