ordered_tests,TestInSeq,TotalAcc,f_bacc,i_bacc,a_bacc
prcnkaf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prcnfka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prcnfak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prcnakf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prcnafk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prcakfn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prcaknf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prcafkn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prcafnk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prcankf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prcanfk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prakfnc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prakfcn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
praknfc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prakncf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prakcfn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prakcnf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prafknc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prafkcn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prafnkc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prafnck,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prafckn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prafcnk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prankfc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prankcf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pranfkc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pranfck,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pranckf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prancfk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prackfn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pracknf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pracfkn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pracfnk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pracnkf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pracnfk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pakfncr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pakfnrc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pakfcnr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pakfcrn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pakfrnc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pakfrcn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
paknfcr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
paknfrc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pakncfr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pakncrf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
paknrfc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
paknrcf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pakcfnr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pakcfrn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pakcnfr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pakcnrf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pakcrfn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pakcrnf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pakrfnc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pakrfcn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pakrnfc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pakrncf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pakrcfn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pakrcnf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pafkncr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pafknrc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pafkcnr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pafkcrn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pafkrnc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pafkrcn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pafnkcr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pafnkrc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pafnckr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pafncrk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pafnrkc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pafnrck,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pafcknr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pafckrn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pafcnkr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pafcnrk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pafcrkn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pafcrnk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pafrknc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
