ordered_tests,t1,t2,t3,t4,t5,t6,t7,f1,f2,f3,f4,f5,f6,f7,i1,i2,i3,i4,i5,i6,i7,a1,a2,a3,a4,a5,a6,a7
kfncpra,0.7368421052631579,0.7368421052631579,0.8848207475209764,0.9229595728451564,0.9298245614035088,0.984744469870328,1,0.7324561403508771,0.7324561403508771,0.9451754385964912,0.9994152046783626,1,1,1,0.7851805728518058,0.7851805728518058,0.9059775840597759,0.937733499377335,0.9427148194271482,0.987546699875467,1,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8674351585014409,0.9711815561959654,1
kfncpar,0.7368421052631579,0.7368421052631579,0.8848207475209764,0.9229595728451564,0.9298245614035088,0.9527078565980168,1,0.7324561403508771,0.7324561403508771,0.9451754385964912,0.9994152046783626,1,1,1,0.7851805728518058,0.7851805728518058,0.9059775840597759,0.937733499377335,0.9427148194271482,0.9613947696139478,1,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8674351585014409,0.9106628242074928,1
kfncrpa,0.7368421052631579,0.7368421052631579,0.8848207475209764,0.9229595728451564,0.9778794813119756,0.984744469870328,1,0.7324561403508771,0.7324561403508771,0.9451754385964912,0.9994152046783626,0.9994152046783626,1,1,0.7851805728518058,0.7851805728518058,0.9059775840597759,0.937733499377335,0.9825653798256537,0.987546699875467,1,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.9582132564841499,0.9711815561959654,1
kfncrap,0.7368421052631579,0.7368421052631579,0.8848207475209764,0.9229595728451564,0.9778794813119756,0.9938977879481312,1,0.7324561403508771,0.7324561403508771,0.9451754385964912,0.9994152046783626,0.9994152046783626,0.9994152046783626,1,0.7851805728518058,0.7851805728518058,0.9059775840597759,0.937733499377335,0.9825653798256537,0.9956413449564134,1,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.9582132564841499,0.9884726224783862,1
kfncapr,0.7368421052631579,0.7368421052631579,0.8848207475209764,0.9229595728451564,0.9466056445461479,0.9527078565980168,1,0.7324561403508771,0.7324561403508771,0.9451754385964912,0.9994152046783626,0.9994152046783626,1,1,0.7851805728518058,0.7851805728518058,0.9059775840597759,0.937733499377335,0.9570361145703612,0.9613947696139478,1,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.899135446685879,0.9106628242074928,1
kfncarp,0.7368421052631579,0.7368421052631579,0.8848207475209764,0.9229595728451564,0.9466056445461479,0.9938977879481312,1,0.7324561403508771,0.7324561403508771,0.9451754385964912,0.9994152046783626,0.9994152046783626,0.9994152046783626,1,0.7851805728518058,0.7851805728518058,0.9059775840597759,0.937733499377335,0.9570361145703612,0.9956413449564134,1,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.899135446685879,0.9884726224783862,1
kfnpcra,0.7368421052631579,0.7368421052631579,0.8848207475209764,0.8916857360793288,0.9298245614035088,0.984744469870328,1,0.7324561403508771,0.7324561403508771,0.9451754385964912,0.9451754385964912,1,1,1,0.7851805728518058,0.7851805728518058,0.9059775840597759,0.9115815691158157,0.9427148194271482,0.987546699875467,1,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8674351585014409,0.8674351585014409,0.9711815561959654,1
kfnpcar,0.7368421052631579,0.7368421052631579,0.8848207475209764,0.8916857360793288,0.9298245614035088,0.9527078565980168,1,0.7324561403508771,0.7324561403508771,0.9451754385964912,0.9451754385964912,1,1,1,0.7851805728518058,0.7851805728518058,0.9059775840597759,0.9115815691158157,0.9427148194271482,0.9613947696139478,1,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8674351585014409,0.8674351585014409,0.9106628242074928,1
kfnprca,0.7368421052631579,0.7368421052631579,0.8848207475209764,0.8916857360793288,0.9466056445461479,0.984744469870328,1,0.7324561403508771,0.7324561403508771,0.9451754385964912,0.9451754385964912,0.9451754385964912,1,1,0.7851805728518058,0.7851805728518058,0.9059775840597759,0.9115815691158157,0.9564134495641345,0.987546699875467,1,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8674351585014409,0.9711815561959654,0.9711815561959654,1
kfnprac,0.7368421052631579,0.7368421052631579,0.8848207475209764,0.8916857360793288,0.9466056445461479,0.96186117467582,1,0.7324561403508771,0.7324561403508771,0.9451754385964912,0.9451754385964912,0.9451754385964912,0.9451754385964912,1,0.7851805728518058,0.7851805728518058,0.9059775840597759,0.9115815691158157,0.9564134495641345,0.9688667496886675,1,0.8544668587896254,0.8544668587896254,0.8544668587896254,0.8674351585014409,0.9711815561959654,1,1
