ordered_tests,TestInSeq,TotalAcc,f_bacc,i_bacc,a_bacc
kfncpra,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfncpar,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfncrpa,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfncrap,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfncapr,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfncarp,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnpcra,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnpcar,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnprca,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnprac,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnpacr,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnparc,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnrcpa,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnrcap,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnrpca,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnrpac,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnracp,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnrapc,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnacpr,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnacrp,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnapcr,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnaprc,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfnarcp,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
